> Ready on port \\.\pipe\213be190-cbb4-4db3-bec2-0b1c0043c1cd
> Environment: development
> Cookie handling configured for IIS
 ○ Compiling / ...
 ✓ Compiled / in 4.1s (1582 modules)
 ✓ Compiled in 391ms (745 modules)
 GET / 200 in 232ms
 GET / 200 in 53ms
 GET / 200 in 45ms
 ✓ Compiled /favicon.ico in 331ms (867 modules)
 GET /favicon.ico 200 in 437ms
 GET / 200 in 201ms
 GET /favicon.ico 200 in 11ms
 GET / 200 in 34ms
 GET / 200 in 36ms
 GET / 200 in 44ms
 GET /favicon.ico 200 in 9ms
 ○ Compiling /_not-found ...
 ✓ Compiled /_not-found in 622ms (1601 modules)
 GET /robots.txt 404 in 805ms
 GET /sitemap.xml 404 in 60ms
 GET /config.json 404 in 63ms
 GET / 200 in 65ms
 GET / 200 in 53ms
 GET / 200 in 68ms
 GET / 200 in 42ms
 GET / 200 in 68ms
 GET / 200 in 34ms
 GET / 200 in 35ms
 GET / 200 in 34ms
 GET / 200 in 34ms
 GET / 200 in 39ms
 GET / 200 in 57ms
 GET / 200 in 57ms
 GET / 200 in 44ms
 GET / 200 in 60ms
 GET / 200 in 50ms
 GET / 200 in 68ms
 GET / 200 in 31ms
 GET / 200 in 61ms
 GET / 200 in 53ms
 GET / 200 in 76ms
 GET / 200 in 44ms
 GET / 200 in 49ms
 GET / 200 in 59ms
 GET / 200 in 43ms
 GET / 200 in 53ms
 GET / 200 in 47ms
 GET / 200 in 50ms
 GET / 200 in 63ms
 GET / 200 in 52ms
 GET / 200 in 64ms
 GET / 200 in 24ms
 GET / 200 in 67ms
 GET / 200 in 71ms
 GET / 200 in 45ms
 GET / 200 in 30ms
 GET / 200 in 52ms
 GET / 200 in 45ms
 GET / 200 in 70ms
 GET / 200 in 64ms
 GET / 200 in 44ms
 GET / 200 in 64ms
 GET / 200 in 49ms
 GET / 200 in 50ms
 GET / 200 in 64ms
 GET / 200 in 82ms
 GET / 200 in 83ms
 GET / 200 in 57ms
 GET / 200 in 66ms
 GET / 200 in 54ms
 GET / 200 in 57ms
 GET / 200 in 57ms
 GET / 200 in 31ms
 GET / 200 in 29ms
 GET / 200 in 77ms
 GET / 200 in 49ms
 GET / 200 in 61ms
 GET / 200 in 55ms
 GET / 200 in 51ms
 GET / 200 in 40ms
 GET / 200 in 66ms
 GET / 200 in 47ms
 GET / 200 in 66ms
 GET / 200 in 60ms
 GET / 200 in 68ms
 GET / 200 in 78ms
 GET / 200 in 72ms
 GET / 200 in 63ms
 GET / 200 in 70ms
 GET / 200 in 41ms
 GET / 200 in 59ms
 GET / 200 in 33ms
 GET / 200 in 58ms
 GET / 200 in 43ms
 GET / 200 in 46ms
 GET / 200 in 58ms
 GET / 200 in 86ms
 GET / 200 in 78ms
 GET / 200 in 81ms
 GET / 200 in 44ms
 GET / 200 in 51ms
 GET / 200 in 53ms
 GET / 200 in 71ms
 GET / 200 in 68ms
 GET / 200 in 32ms
 GET / 200 in 73ms
 GET / 200 in 85ms
 GET / 200 in 44ms
